text,label,intent_name
ETA for Maersk Edmonton voyage 70 from Russia?,1,ask_vessel_schedule
Cancel pilot order for ONE Bangkok ETA changed to 2024-02-22,5,modify_berth_booking
Container OOLU4567890 loaded on which vessel voyage?,6,track_container
Cancel pilot order for Evergreen Tokyo ETA changed to 2024-08-28,5,modify_berth_booking
Requesting anchorage for ONE Bangkok awaiting berth availability for LNG discharge,0,request_berth_booking
Berth request: ONE Bangkok IMO 9791952 arriving 2024-03-14 with 14071 MT of containers FOB,0,request_berth_booking
Book berth for Hapag Dubai at CTA terminal ETA 2024-06-25 draft 16m alongside port,0,request_berth_booking
Cargo manifest declaration for Maersk Edmonton voyage 344 loading electronics destination UK,9,declare_cargo_manifest
Ballast water management requirements at Busan for ONE Bangkok,8,ask_regulations
Modify: Yang Ming Kaohsiung shifting from berth 9 to 19 for cargo segregation,5,modify_berth_booking
Order pilot for HMM Busan LOA 167m GT 45302 ETA pilot station 2024-09-21,7,request_pilotage_tug
What are the ISPS security requirements for ONE Bangkok at Antwerp?,8,ask_regulations
Security alert: unauthorized personnel near SSA terminal perimeter,3,report_port_incident
Port state control inspection procedures for Singapore flag vessels,8,ask_regulations
Requesting wharfage rates for container vessel vessels at Dubai,4,ask_tariff_rates
Requesting wharfage rates for LNG carrier vessels at Rotterdam,4,ask_tariff_rates
Location of container MAEU9876543 in yard block B2?,6,track_container
Certificate of origin attached for bauxite HS code 2601.11 preferential origin Canada,2,submit_customs_docs
Berth swap requested between MSC Geneva and CMA CGM Rio at PSA,5,modify_berth_booking
Port incident: HLCU5556667 collapsed during stacking at yard block F6,3,report_port_incident
Tug services: ZIM Haifa unberthing from CTB ETD 2024-01-23,7,request_pilotage_tug
What are the cargo handling charges for containers per metric ton at APM?,4,ask_tariff_rates
Port incident: YMLU7778889 collapsed during stacking at yard block A1,3,report_port_incident
Container MSCU1234567 customs inspection status?,6,track_container
Schedule inquiry: ZIM Haifa arriving Hong Kong berth 3,1,ask_vessel_schedule
Final cargo manifest for MSC Geneva total 57485 MT 17494 TEU Los Angeles to Netherlands,9,declare_cargo_manifest
Incident: ONE Bangkok allision with jetty during berthing maneuver,3,report_port_incident
Escort tug request for Hapag Dubai in restricted channel due to high winds,7,request_pilotage_tug
What are the cargo handling charges for soybeans per metric ton at CTA?,4,ask_tariff_rates
Stevedoring charges for chemicals discharge rate 782 MT per hour,4,ask_tariff_rates
Environmental incident: oil spill from CMA CGM Rio at anchorage during bunkering,3,report_port_incident
Bulk cargo declaration: soybeans 38362 MT shipper Odebrecht consignee Trafigura,9,declare_cargo_manifest
Schedule inquiry: Hapag Dubai arriving Singapore berth 9,1,ask_vessel_schedule
Requesting wharfage rates for tanker vessels at Dubai,4,ask_tariff_rates
When does Evergreen Tokyo depart Hong Kong bound for India?,1,ask_vessel_schedule
Berth reservation: COSCO Shanghai arriving 2024-03-26 with reefer containers total 2540 TEU,0,request_berth_booking
Submitting SAD document for import of steel coils origin USA consignee Bunge,2,submit_customs_docs
Security alert: unauthorized personnel near LBCT terminal perimeter,3,report_port_incident
Reschedule: HMM Busan advance cargo operations to 2024-06-17 due to weather,5,modify_berth_booking
ETD for MSC Geneva after cargo operations complete?,1,ask_vessel_schedule
Container ZIMU1239874 customs inspection status?,6,track_container
Security alert: unauthorized personnel near PSA terminal perimeter,3,report_port_incident
ETD for ZIM Haifa after cargo operations complete?,1,ask_vessel_schedule
Incident report: Maersk Edmonton damaged fender at berth 9 during mooring,3,report_port_incident
Tug service rates for Hapag Dubai gross tonnage 31260 at Antwerp,4,ask_tariff_rates
Standby tug for Maersk Edmonton during cargo transfer operations,7,request_pilotage_tug
Container HLCU5556667 loaded on which vessel voyage?,6,track_container
Cancel berth reservation for MSC Geneva voyage 791,5,modify_berth_booking
Order pilot for Yang Ming Kaohsiung LOA 234m GT 52630 ETA pilot station 2024-05-21,7,request_pilotage_tug
Reschedule: Maersk Edmonton advance cargo operations to 2024-09-17 due to weather,5,modify_berth_booking
Phytosanitary certificate submitted for agricultural cargo electronics container OOLU4567890,2,submit_customs_docs
Dangerous goods manifest: textiles UN number 2218 class 5 container ZIMU1239874,9,declare_cargo_manifest
Bulk cargo declaration: textiles 75751 MT shipper Glencore consignee Cargill,9,declare_cargo_manifest
What is the pilotage fee for LOA 299m vessel entering Ningbo?,4,ask_tariff_rates
Cancel pilot order for Hapag Dubai ETA changed to 2024-09-14,5,modify_berth_booking
Regulations for handling automobiles IMO class 5 at Delta?,8,ask_regulations
Extend stay: Evergreen Tokyo requires additional 11 days alongside for electronics,5,modify_berth_booking
Container EGLV4445556 loaded on which vessel voyage?,6,track_container
Where is container HLCU5556667 currently in port?,6,track_container
Order pilot for Evergreen Tokyo LOA 321m GT 144381 ETA pilot station 2024-04-26,7,request_pilotage_tug
Berth swap requested between COSCO Shanghai and MSC Geneva at SSA,5,modify_berth_booking
Berth reservation: ONE Bangkok arriving 2024-05-13 with reefer containers total 5146 TEU,0,request_berth_booking
Berth reservation: HMM Busan arriving 2024-07-12 with dry van containers total 2666 TEU,0,request_berth_booking
Container ONEU3334445 customs inspection status?,6,track_container
Berth reservation: MSC Geneva arriving 2024-03-12 with open top containers total 15759 TEU,0,request_berth_booking
Is ZIMU1239874 available for collection at Delta gate?,6,track_container
Reefer cargo list attached for HMM Busan 19820 refrigerated containers set temps included,9,declare_cargo_manifest
Mooring gang requested for Yang Ming Kaohsiung at berth 7 ETA 2024-04-25,7,request_pilotage_tug
Modify: Evergreen Tokyo shifting from berth 1 to 19 for cargo segregation,5,modify_berth_booking
Container MAEU9876543 customs inspection status?,6,track_container
Security alert: unauthorized personnel near PSA terminal perimeter,3,report_port_incident
What is the ETB for COSCO Shanghai at terminal LBCT?,1,ask_vessel_schedule
Berth reservation: Yang Ming Kaohsiung arriving 2024-05-24 with tank containers total 10594 TEU,0,request_berth_booking
Extend stay: ONE Bangkok requires additional 5 days alongside for automobiles,5,modify_berth_booking
